,Location,Relationship,raw_scenario,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
89,2,1,SupposeyouwanttoreadadigitaldocumentwhenyouareatStarbucks.,Suppose you want to read a digital document when you are at Starbucks.,0,1,0,1,0,0
90,2,2,SupposeyouwanttoreadadigitaldocumentwhenyouareatStarbuckssurroundedwithyourclosefriends.,Suppose you want to read a digital document when you are at Starbucks surrounded with your close friends.,0,1,0,0,1,0
91,2,3,"SupposeyouwanttoreadadigitaldocumentwhenyouareatStarbuckswithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to read a digital document when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",0,1,0,0,0,1
92,3,1,Supposeyouwanttoreadadigitaldocumentwhenyouareatapark.,Suppose you want to read a digital document when you are at a park.,0,0,1,1,0,0
93,3,2,Supposeyouwanttoreadadigitaldocumentwhenyouareinaparksurroundedbyyourclosefriends.,Suppose you want to read a digital document when you are in a park surrounded by your close friends.,0,0,1,0,1,0
94,3,3,"Supposeyouwanttoreadadigitaldocumentwhenyouareinaparkwithpeopleyouknow(e.g.,acquaintances,colleagues).","Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
95,1,1,"Supposeyouarealoneandrelaxingathome,youhavejustreadanewbookthatyoulovedandnowyouwantawriteareviewforyourclosefamilyandfriends.","Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",1,0,0,1,0,0
96,2,1,"Supposeyouareatacoffeeshop,youhavejustreadabookyoulovedandnowyouwanttowriteareviewforittosharewithyourclosefamilyandfriends.","Suppose you are at a coffee shop, you have just read a book you loved and now you want to write a review for it to share with your close family and friends.",0,1,0,1,0,0
97,3,1,"Supposeyouareatapark,youhavejustreadabookyoulovedandnowyouwanttowriteareviewforittosharewithpeopleyouarecloseto(e.g.,friends,familymembers)","Suppose you are at a park, you have just read a book you loved and now you want to write a review for it to share with people you are close to (e.g., friends, family members)",0,0,1,1,0,0
98,1,2,"Supposeyouwanttocontrolsomedevices/appliances(e.g.,smartlights)whenyouareathomewithpeopleyouarecloseto(e.g.,friends,familymembers)","Suppose you want to control some devices/appliances (e.g., smart lights) when you are at home with people you are close to (e.g., friends, family members)",1,0,0,0,1,0
99,1,1,"Supposeyouwanttocontrolsomedevices/appliances(e.g.,smartlights)whenyouarealoneathome.","Suppose you want to control some devices/appliances (e.g., smart lights) when you are alone at home.",1,0,0,1,0,0
100,1,1,Supposeyouwanttopurchasesomethingonlinewhenyouarealoneatyourhome.,Suppose you want to purchase something online when you are alone at your home.,1,0,0,1,0,0
101,1,2,"Supposeyouwanttopurchasesomethingonlinewhenyouarewithpeopleyouarecloseto(e.g.,friends,familymembers)athome.","Suppose you want to purchase something online when you are with people you are close to (e.g., friends, family members) at home.",1,0,0,0,1,0
102,1,3,"Supposeyouwanttopurchasesomethingonlinewhenyouarewithpeopleyouknow(e.g.,acquaintances,colleagues)atyourhome.","Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at your home.",1,0,0,0,0,1
103,2,1,SupposeyouwanttopurchasesomethingonlinewhenyouarealoneatStarbucks.,Suppose you want to purchase something online when you are alone at Starbucks.,0,1,0,1,0,0
104,2,3,"Supposeyouwanttopurchasesomething(e.g.,book,householditems)onlinewhenyouarewithpeopleyouknow(e.g.,acquaintances,colleagues)atStarbucks.","Suppose you want to purchase something (e.g., book, household items) online when you are with people you know (e.g., acquaintances, colleagues) at Starbucks.",0,1,0,0,0,1
105,3,1,Supposeyouwanttopurchasesomethingonlinewhenyouarealoneatapark.,Suppose you want to purchase something online when you are alone at a park.,0,0,1,1,0,0
106,3,2,"Supposeyouwanttopurchasesomething(e.g.,book,householditems)onlinewhenyouarewithyourclosefriendsatapark.","Suppose you want to purchase something (e.g., book, household items) online when you are with your close friends at a park.",0,0,1,0,1,0
107,3,3,"Supposeyouwanttopurchasesomethingonlinewhenyouarewithpeopleyouknow(e.g.,acquaintances,colleagues)atapark.","Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.",0,0,1,0,0,1
108,1,1,Supposeyouwanttobrowsethroughoneofyoursocialmediaprofileswhenyouareatyourhome.,Suppose you want to browse through one of your social media profiles when you are at your home.,1,0,0,1,0,0
